product_id,product_name,category,sub_category,product_key
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,1
FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",Furniture,Chairs,2
TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",Technology,Phones,3
TEC-PH-10004583,"Motorola Smart Phone, Cordless",Technology,Phones,4
TEC-SHA-10000501,"Sharp Wireless Fax, High-Speed",Technology,Copiers,5
TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",Technology,Phones,6
FUR-CH-10004050,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,7
FUR-TA-10002958,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables,8
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,9
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,10
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,11
FUR-TA-10001889,"Bevis Conference Table, Fully Assembled",Furniture,Tables,12
TEC-CIS-10001717,"Cisco Smart Phone, with Caller ID",Technology,Phones,13
FUR-CH-10002033,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs,14
OFF-AP-10003500,"KitchenAid Microwave, White",Office Supplies,Appliances,15
OFF-AP-10000423,"Breville Refrigerator, Red",Office Supplies,Appliances,16
TEC-AC-10004145,Logitech diNovo Edge Keyboard,Technology,Accessories,17
OFF-AP-10004512,"Hoover Stove, Red",Office Supplies,Appliances,18
TEC-CO-10000865,"Brother Fax Machine, High-Speed",Technology,Copiers,19
OFF-KIT-10004058,"KitchenAid Stove, White",Office Supplies,Appliances,20
FUR-HON-10000224,"Hon Computer Table, with Bottom Storage",Furniture,Tables,21
TEC-PH-10001363,Apple iPhone 5S,Technology,Phones,22
FUR-CH-10000027,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,23
OFF-AP-10003590,"KitchenAid Refrigerator, Black",Office Supplies,Appliances,24
TEC-PH-10004182,"Motorola Smart Phone, Full Size",Technology,Phones,25
FUR-TA-10002827,"Hon Computer Table, Fully Assembled",Furniture,Tables,26
FUR-TA-10004744,"Lesro Conference Table, with Bottom Storage",Furniture,Tables,27
TEC-PH-10002885,Apple iPhone 5,Technology,Phones,28
FUR-CH-10001415,"Office Star Executive Leather Armchair, Red",Furniture,Chairs,29
TEC-PH-10002815,"Samsung Smart Phone, VoIP",Technology,Phones,30
TEC-MA-10000161,"Okidata Inkjet, Wireless",Technology,Machines,31
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,32
OFF-AP-10004246,"Breville Stove, Red",Office Supplies,Appliances,33
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,34
TEC-APP-10000308,"Apple Smart Phone, Full Size",Technology,Phones,35
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,36
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,37
