sales_key,order_id,order_date_key,ship_date_key,customer_key,product_key,geography_key,ship_mode_key,sales,quantity,discount,profit
1,CA-2012-124891,20120731,20120731,1,1,1,1,2309.65,7,0.0,762.1845
2,IN-2013-77878,20130205,20130207,2,2,2,2,3709.395,9,0.1,-288.765
3,IN-2013-71249,20131017,20131018,3,3,3,3,5175.171,9,0.1,919.971
4,ES-2013-1579342,20130128,20130130,4,4,4,3,2892.51,5,0.1,-96.54
5,SG-2013-4320,20131105,20131106,5,5,5,1,2832.96,8,0.0,311.52
6,IN-2013-42360,20130628,20130701,6,6,6,2,2862.675,5,0.1,763.275
7,IN-2011-81826,20111107,20111109,7,7,7,3,1822.08,4,0.0,564.84
8,IN-2012-86369,20120414,20120418,8,8,8,4,5244.84,6,0.0,996.48
9,CA-2014-135909,20141014,20141021,9,9,9,4,5083.96,5,0.2,1906.485
10,CA-2012-116638,20120128,20120131,10,10,10,2,4297.644,13,0.4,-1862.3124
11,CA-2011-102988,20110405,20110409,11,11,11,2,4164.05,5,0.0,83.281
12,ID-2012-28402,20120419,20120422,12,12,12,3,4626.15,5,0.0,647.55
13,SA-2011-1830,20111227,20111229,13,13,13,2,2616.96,4,0.0,1151.4
14,MX-2012-130015,20121113,20121113,14,14,14,1,2221.8,7,0.0,622.02
15,IN-2013-73951,20130606,20130608,15,15,15,2,3701.52,12,0.0,1036.08
16,ES-2014-5099955,20140731,20140803,16,16,16,2,1869.588,4,0.1,186.948
17,CA-2014-143567,20141103,20141106,17,17,17,2,2249.91,9,0.0,517.4793
18,ES-2014-1651774,20140908,20140914,18,18,18,4,7958.58,14,0.0,3979.08
19,IN-2014-11763,20140131,20140201,19,19,19,3,2565.594,9,0.1,28.404
20,TZ-2014-8190,20141205,20141207,20,20,20,2,3409.74,6,0.0,818.28
21,PL-2012-7820,20120808,20120810,21,21,21,3,1977.72,4,0.0,276.84
22,CA-2011-154627,20111029,20111031,22,22,22,3,2735.952,6,0.2,341.994
23,IN-2011-44803,20110502,20110503,23,23,23,3,2754.0,6,0.0,358.02
24,ES-2013-2860574,20130227,20130301,24,24,24,2,5273.7,10,0.0,1898.4
25,US-2014-133193,20140731,20140801,25,25,25,3,1713.84,4,0.0,445.52
26,MX-2014-165309,20140905,20140908,26,26,26,3,2106.496,8,0.2,526.496
27,IN-2011-10286,20111217,20111220,27,27,27,3,1715.16,2,0.0,720.36
28,ES-2011-4699764,20110314,20110317,28,18,28,2,3069.738,6,0.1,1364.238
29,CA-2013-159016,20130311,20130312,29,28,29,3,4158.912,8,0.2,363.9048
30,IN-2012-44810,20120225,20120225,30,29,30,1,1878.72,4,0.0,582.36
31,US-2011-128776,20111228,20111230,31,30,31,2,1696.64,5,0.2,-148.46
32,ES-2012-5870268,20120717,20120719,32,31,32,3,2402.865,9,0.15,763.155
33,CA-2012-139731,20121015,20121015,33,32,33,1,2453.43,5,0.3,-350.49
34,IN-2011-28087,20111103,20111105,34,33,34,2,2526.93,5,0.1,561.48
35,CA-2011-168494,20111212,20111214,35,34,35,2,3610.848,12,0.2,135.4068
36,CG-2011-8610,20110914,20110915,36,35,36,3,3817.26,6,0.0,1068.66
37,CA-2011-160766,20110914,20110914,37,36,37,1,2799.96,4,0.0,1371.9804
38,US-2014-168116,20141105,20141105,38,37,38,1,7999.98,4,0.5,-3839.9904
39,ES-2014-2637201,20140114,20140118,39,38,39,4,4141.02,13,0.0,1697.67
40,IN-2011-61302,20110110,20110111,40,3,3,3,2875.095,5,0.1,511.095
41,ID-2013-63976,20130822,20130826,41,39,40,4,3200.5962,6,0.17,-77.2038
42,IN-2014-37320,20141111,20141115,42,40,41,4,4518.78,7,0.0,632.52
43,IN-2014-76016,20140926,20140928,43,41,42,2,5667.87,13,0.0,2097.03
44,ES-2012-5877219,20121213,20121217,44,4,43,4,5785.02,9,0.0,404.73
45,IT-2011-3183678,20110923,20110925,45,42,4,3,3018.624,7,0.2,377.244
46,CA-2011-116904,20110923,20110928,46,43,44,4,9449.95,5,0.0,4630.4755
47,IT-2013-3085011,20130308,20130308,47,44,45,1,2092.5,5,0.1,720.75
48,IN-2014-50473,20140828,20140829,48,45,46,3,2761.2,6,0.0,110.34
49,IN-2014-35983,20140501,20140501,49,46,47,1,2174.13,7,0.0,500.01
50,MX-2014-126984,20141218,20141220,50,47,48,2,3473.14,11,0.0,868.12
51,US-2012-163825,20120616,20120619,51,9,37,3,3050.376,3,0.2,1143.891
52,IR-2014-8540,20140918,20140921,52,48,49,3,2108.64,8,0.0,527.04
53,US-2014-135013,20140725,20140725,53,49,50,1,2399.96,5,0.2,839.986
54,IN-2011-10286,20111217,20111220,27,50,27,3,2197.5,5,0.0,153.75
55,MZ-2013-3690,20131218,20131218,54,51,51,1,2582.16,4,0.0,593.88
